header	BLOSUM1	BLOSUM2	BLOSUM3	BLOSUM4	BLOSUM5	BLOSUM6	BLOSUM7	BLOSUM8	BLOSUM9	BLOSUM10	PP1	PP2	PP3	F1	F2	F3	F4	F5	F6	KF1	KF2	KF3	KF4	KF5	KF6	KF7	KF8	KF9	KF10	MSWHIM1	MSWHIM2	MSWHIM3	E1	E2	E3	E4	E5	ProtFP1	ProtFP2	ProtFP3	ProtFP4	ProtFP5	ProtFP6	ProtFP7	ProtFP8	SV1	SV2	SV3	SV4	ST1	ST2	ST3	ST4	ST5	ST6	ST7	ST8	T1	T2	T3	T4	T5	VHSE1	VHSE2	VHSE3	VHSE4	VHSE5	VHSE6	VHSE7	VHSE8	Z1	Z2	Z3	Z4	Z5
QXL90911.1	0.08700197238658777	-0.19619329388560158	-0.1811242603550296	-0.017672583826429982	-0.08082840236686391	0.09175542406311638	0.0716568047337278	-0.053806706114398424	0.07964497041420118	-0.035167652859960555	-0.137396449704142	-0.26727810650887573	0.02069033530571992	-0.1485739644970414	0.017499013806706123	-0.04473175542406308	0.36910059171597637	0.16283431952662725	-0.045207100591715975	-0.05301775147928995	-0.1371005917159763	-0.016094674556213003	0.032998027613412216	-0.07368836291913215	-0.32783037475345167	0.01637080867850099	-0.04836291913214989	0.019921104536489168	0.04895463510848125	-0.2993293885601578	0.41467455621301774	-0.3608284023668639	0.00834319526627219	0.0213629191321499	-0.042313609467455625	-0.0654260355029586	0.024950690335305722	-0.3203944773175543	-0.44684418145956617	-0.29240631163708086	0.2385404339250493	-0.3280473372781065	0.021321499013806706	0.06577909270216963	0.03207100591715978	0.22617751479289944	0.03581854043392506	-0.017325443786982246	-0.03266272189349113	-0.815284023668639	-0.22078500986193292	-0.15147534516765288	-0.06055226824457594	-0.12564102564102564	-0.20072386587771204	0.09909072978303748	0.16471203155818537	-4.314575936883629	-0.065956607495069	-0.07325443786982248	0.1928205128205128	0.5358579881656805	0.01692307692307695	-0.04516765285996056	-0.10871794871794872	-0.0983234714003945	-0.03867850098619332	-0.23353057199211044	0.15076923076923077	0.07299802761341223	-0.12051282051282056	-0.3538658777120316	-0.268974358974359	-0.2831755424063116	0.2683629191321499
QXL90910.1	0.091301775147929	-0.19621301775147929	-0.17794871794871794	-0.019033530571992113	-0.08289940828402367	0.0867258382642998	0.07500986193293886	-0.051025641025641034	0.08207100591715977	-0.035187376725838264	-0.13990138067061142	-0.2683629191321499	0.020907297830374743	-0.15127218934911243	0.013761341222879699	-0.048017751479289904	0.367155818540434	0.16925838264299803	-0.04943589743589743	-0.05049309664694281	-0.1396646942800789	-0.02218934911242602	0.03191321499013806	-0.07250493096646943	-0.3266272189349113	0.014201183431952662	-0.049289940828402365	0.022011834319526642	0.04524654832347139	-0.2990138067061144	0.4134122287968442	-0.36116370808678505	0.009092702169625247	0.021865877712031554	-0.041895463510848135	-0.06512623274161737	0.02619921104536489	-0.3355424063116371	-0.45502958579881664	-0.2850493096646942	0.24061143984220906	-0.33390532544378704	0.017396449704142017	0.060966469428007895	0.031143984220907306	226	0.03667652859960552	-0.017147928994082837	-0.03302169625246549	-0.8166923076923077	-0.22057001972386586	-0.15112228796844182	-0.059974358974358974	-0.12798224852071005	-0.20736883629191322	0.10043195266272188	0.167025641025641	-4.322209072978303	-0.07548323471400391	-0.07428007889546351	0.1906903353057199	0.5378303747534517	0.01564102564102567	-0.04682445759368836	-0.11199211045364892	-0.09637080867850101	-0.038974358974359	-0.23524654832347136	0.15250493096646942	0.07952662721893491	-0.11635108481262331	-0.3510453648915188	-0.2590138067061144	-0.2777712031558185	0.2740039447731755
QXL90909.1	0.091301775147929	-0.19621301775147929	-0.17794871794871794	-0.019033530571992113	-0.08289940828402367	0.0867258382642998	0.07500986193293886	-0.051025641025641034	0.08207100591715977	-0.035187376725838264	-0.13990138067061142	-0.2683629191321499	0.020907297830374743	-0.15127218934911243	0.013761341222879699	-0.048017751479289904	0.367155818540434	0.16925838264299803	-0.04943589743589743	-0.05049309664694281	-0.1396646942800789	-0.02218934911242602	0.03191321499013806	-0.07250493096646943	-0.3266272189349113	0.014201183431952662	-0.049289940828402365	0.022011834319526642	0.04524654832347139	-0.2990138067061144	0.4134122287968442	-0.36116370808678505	0.009092702169625247	0.021865877712031554	-0.041895463510848135	-0.06512623274161737	0.02619921104536489	-0.3355424063116371	-0.45502958579881664	-0.2850493096646942	0.24061143984220906	-0.33390532544378704	0.017396449704142017	0.060966469428007895	0.031143984220907306	226	0.03667652859960552	-0.017147928994082837	-0.03302169625246549	-0.8166923076923077	-0.22057001972386586	-0.15112228796844182	-0.059974358974358974	-0.12798224852071005	-0.20736883629191322	0.10043195266272188	0.167025641025641	-4.322209072978303	-0.07548323471400391	-0.07428007889546351	0.1906903353057199	0.5378303747534517	0.01564102564102567	-0.04682445759368836	-0.11199211045364892	-0.09637080867850101	-0.038974358974359	-0.23524654832347136	0.15250493096646942	0.07952662721893491	-0.11635108481262331	-0.3510453648915188	-0.2590138067061144	-0.2777712031558185	0.2740039447731755
QXL90908.1	0.09151873767258384	-0.19583826429980278	-0.17863905325443785	-0.019053254437869822	-0.08333333333333333	0.08710059171597634	0.0731163708086785	-0.054792899408284024	0.07968441814595661	-0.035719921104536485	-0.1372189349112426	-0.26812623274161734	0.021025641025641018	-0.15174358974358973	0.011254437869822498	-0.047230769230769194	0.36509270216962525	0.16936489151873768	-0.047114398422090725	-0.04690335305719922	-0.13775147928994083	-0.0178895463510848	0.03368836291913214	-0.07086785009861933	-0.3246745562130178	0.015069033530571993	-0.05140039447731754	0.020493096646942818	0.046568047337278096	-0.2987179487179487	0.41469428007889547	-0.3616962524654832	0.00921104536489152	0.02189151873767258	-0.04098816568047338	-0.0653096646942801	0.025301775147928994	-0.33928994082840247	-0.4487771203155819	-0.2822287968441814	0.23927021696252465	-0.33104536489151876	0.012938856015779094	0.06516765285996057	0.032485207100591725	0.22594871794871796	0.03629388560157792	-0.01734122287968442	-0.03221301775147929	-0.815723865877712	-0.22084023668639052	-0.15168244575936884	-0.060566074950690336	-0.12601183431952662	-0.20450098619329388	0.09958382642998029	0.16320315581854045	-4.316015779092702	-0.07349112426035499	-0.07333333333333332	0.18925049309664693	0.5352465483234714	0.014674556213017779	-0.045641025641025644	-0.11041420118343195	-0.09664694280078898	-0.0391321499013807	-0.2334714003944773	0.15023668639053253	0.08124260355029585	-0.11534516765286	-0.35076923076923083	-0.26240631163708084	-0.2803747534516765	0.2706508875739645
QXL90907.1	0.091301775147929	-0.19621301775147929	-0.17794871794871794	-0.019033530571992113	-0.08289940828402367	0.0867258382642998	0.07500986193293886	-0.051025641025641034	0.08207100591715977	-0.035187376725838264	-0.13990138067061142	-0.2683629191321499	0.020907297830374743	-0.15127218934911243	0.013761341222879699	-0.048017751479289904	0.367155818540434	0.16925838264299803	-0.04943589743589743	-0.05049309664694281	-0.1396646942800789	-0.02218934911242602	0.03191321499013806	-0.07250493096646943	-0.3266272189349113	0.014201183431952662	-0.049289940828402365	0.022011834319526642	0.04524654832347139	-0.2990138067061144	0.4134122287968442	-0.36116370808678505	0.009092702169625247	0.021865877712031554	-0.041895463510848135	-0.06512623274161737	0.02619921104536489	-0.3355424063116371	-0.45502958579881664	-0.2850493096646942	0.24061143984220906	-0.33390532544378704	0.017396449704142017	0.060966469428007895	0.031143984220907306	226	0.03667652859960552	-0.017147928994082837	-0.03302169625246549	-0.8166923076923077	-0.22057001972386586	-0.15112228796844182	-0.059974358974358974	-0.12798224852071005	-0.20736883629191322	0.10043195266272188	0.167025641025641	-4.322209072978303	-0.07548323471400391	-0.07428007889546351	0.1906903353057199	0.5378303747534517	0.01564102564102567	-0.04682445759368836	-0.11199211045364892	-0.09637080867850101	-0.038974358974359	-0.23524654832347136	0.15250493096646942	0.07952662721893491	-0.11635108481262331	-0.3510453648915188	-0.2590138067061144	-0.2777712031558185	0.2740039447731755
QXL90906.1	0.09151873767258384	-0.19583826429980278	-0.17863905325443785	-0.019053254437869822	-0.08333333333333333	0.08710059171597634	0.0731163708086785	-0.054792899408284024	0.07968441814595661	-0.035719921104536485	-0.1372189349112426	-0.26812623274161734	0.021025641025641018	-0.15174358974358973	0.011254437869822498	-0.047230769230769194	0.36509270216962525	0.16936489151873768	-0.047114398422090725	-0.04690335305719922	-0.13775147928994083	-0.0178895463510848	0.03368836291913214	-0.07086785009861933	-0.3246745562130178	0.015069033530571993	-0.05140039447731754	0.020493096646942818	0.046568047337278096	-0.2987179487179487	0.41469428007889547	-0.3616962524654832	0.00921104536489152	0.02189151873767258	-0.04098816568047338	-0.0653096646942801	0.025301775147928994	-0.33928994082840247	-0.4487771203155819	-0.2822287968441814	0.23927021696252465	-0.33104536489151876	0.012938856015779094	0.06516765285996057	0.032485207100591725	0.22594871794871796	0.03629388560157792	-0.01734122287968442	-0.03221301775147929	-0.815723865877712	-0.22084023668639052	-0.15168244575936884	-0.060566074950690336	-0.12601183431952662	-0.20450098619329388	0.09958382642998029	0.16320315581854045	-4.316015779092702	-0.07349112426035499	-0.07333333333333332	0.18925049309664693	0.5352465483234714	0.014674556213017779	-0.045641025641025644	-0.11041420118343195	-0.09664694280078898	-0.0391321499013807	-0.2334714003944773	0.15023668639053253	0.08124260355029585	-0.11534516765286	-0.35076923076923083	-0.26240631163708084	-0.2803747534516765	0.2706508875739645
QXL90905.1	0.09151873767258384	-0.19583826429980278	-0.17863905325443785	-0.019053254437869822	-0.08333333333333333	0.08710059171597634	0.0731163708086785	-0.054792899408284024	0.07968441814595661	-0.035719921104536485	-0.1372189349112426	-0.26812623274161734	0.021025641025641018	-0.15174358974358973	0.011254437869822498	-0.047230769230769194	0.36509270216962525	0.16936489151873768	-0.047114398422090725	-0.04690335305719922	-0.13775147928994083	-0.0178895463510848	0.03368836291913214	-0.07086785009861933	-0.3246745562130178	0.015069033530571993	-0.05140039447731754	0.020493096646942818	0.046568047337278096	-0.2987179487179487	0.41469428007889547	-0.3616962524654832	0.00921104536489152	0.02189151873767258	-0.04098816568047338	-0.0653096646942801	0.025301775147928994	-0.33928994082840247	-0.4487771203155819	-0.2822287968441814	0.23927021696252465	-0.33104536489151876	0.012938856015779094	0.06516765285996057	0.032485207100591725	0.22594871794871796	0.03629388560157792	-0.01734122287968442	-0.03221301775147929	-0.815723865877712	-0.22084023668639052	-0.15168244575936884	-0.060566074950690336	-0.12601183431952662	-0.20450098619329388	0.09958382642998029	0.16320315581854045	-4.316015779092702	-0.07349112426035499	-0.07333333333333332	0.18925049309664693	0.5352465483234714	0.014674556213017779	-0.045641025641025644	-0.11041420118343195	-0.09664694280078898	-0.0391321499013807	-0.2334714003944773	0.15023668639053253	0.08124260355029585	-0.11534516765286	-0.35076923076923083	-0.26240631163708084	-0.2803747534516765	0.2706508875739645
QXL90904.1	0.09224852071005916	-0.19532544378698224	-0.17715976331360944	-0.015384615384615384	-0.08471400394477319	0.08854043392504932	0.07264299802761341	-0.056173570019723874	0.07696252465483236	-0.03431952662721893	-0.13678500986193293	-0.2694477317554241	0.01909270216962524	-0.15099802761341222	0.008274161735700211	-0.04863708086785006	0.3636528599605523	0.16863510848126234	-0.05058974358974359	-0.04398422090729784	-0.1395069033530572	-0.017672583826429968	0.03193293885601577	-0.07355029585798817	-0.3207495069033531	0.012623274161735698	-0.04881656804733727	0.023609467455621317	0.0419723865877712	-0.29743589743589743	0.414930966469428	-0.36418145956607495	0.009234714003944773	0.022635108481262326	-0.04067061143984222	-0.06443589743589745	0.0252465483234714	-0.33907297830374766	-0.45704142011834326	-0.28333333333333327	0.23307692307692304	-0.3261932938856016	0.008875739644970418	0.06680473372781066	0.026942800788954648	0.22599013806706117	0.03598224852071007	-0.017706114398422092	-0.031153846153846157	-0.8164812623274161	-0.22143589743589745	-0.15355226824457593	-0.06085996055226825	-0.12343984220907299	-0.20617159763313608	0.09827218934911242	0.16178500986193292	-4.320019723865878	-0.07680473372781062	-0.0677120315581854	0.18800788954635106	0.5374950690335305	0.015029585798816594	-0.04702169625246548	-0.11252465483234715	-0.09686390532544381	-0.04345167652859963	-0.2331163708086785	0.14846153846153845	0.07940828402366865	-0.11384615384615389	-0.3493293885601578	-0.2554437869822485	-0.2855818540433925	0.2732149901380671
QXL90903.1	0.09151873767258384	-0.19583826429980278	-0.17863905325443785	-0.019053254437869822	-0.08333333333333333	0.08710059171597634	0.0731163708086785	-0.054792899408284024	0.07968441814595661	-0.035719921104536485	-0.1372189349112426	-0.26812623274161734	0.021025641025641018	-0.15174358974358973	0.011254437869822498	-0.047230769230769194	0.36509270216962525	0.16936489151873768	-0.047114398422090725	-0.04690335305719922	-0.13775147928994083	-0.0178895463510848	0.03368836291913214	-0.07086785009861933	-0.3246745562130178	0.015069033530571993	-0.05140039447731754	0.020493096646942818	0.046568047337278096	-0.2987179487179487	0.41469428007889547	-0.3616962524654832	0.00921104536489152	0.02189151873767258	-0.04098816568047338	-0.0653096646942801	0.025301775147928994	-0.33928994082840247	-0.4487771203155819	-0.2822287968441814	0.23927021696252465	-0.33104536489151876	0.012938856015779094	0.06516765285996057	0.032485207100591725	0.22594871794871796	0.03629388560157792	-0.01734122287968442	-0.03221301775147929	-0.815723865877712	-0.22084023668639052	-0.15168244575936884	-0.060566074950690336	-0.12601183431952662	-0.20450098619329388	0.09958382642998029	0.16320315581854045	-4.316015779092702	-0.07349112426035499	-0.07333333333333332	0.18925049309664693	0.5352465483234714	0.014674556213017779	-0.045641025641025644	-0.11041420118343195	-0.09664694280078898	-0.0391321499013807	-0.2334714003944773	0.15023668639053253	0.08124260355029585	-0.11534516765286	-0.35076923076923083	-0.26240631163708084	-0.2803747534516765	0.2706508875739645
QXL90902.1	0.09151873767258384	-0.19583826429980278	-0.17863905325443785	-0.019053254437869822	-0.08333333333333333	0.08710059171597634	0.0731163708086785	-0.054792899408284024	0.07968441814595661	-0.035719921104536485	-0.1372189349112426	-0.26812623274161734	0.021025641025641018	-0.15174358974358973	0.011254437869822498	-0.047230769230769194	0.36509270216962525	0.16936489151873768	-0.047114398422090725	-0.04690335305719922	-0.13775147928994083	-0.0178895463510848	0.03368836291913214	-0.07086785009861933	-0.3246745562130178	0.015069033530571993	-0.05140039447731754	0.020493096646942818	0.046568047337278096	-0.2987179487179487	0.41469428007889547	-0.3616962524654832	0.00921104536489152	0.02189151873767258	-0.04098816568047338	-0.0653096646942801	0.025301775147928994	-0.33928994082840247	-0.4487771203155819	-0.2822287968441814	0.23927021696252465	-0.33104536489151876	0.012938856015779094	0.06516765285996057	0.032485207100591725	0.22594871794871796	0.03629388560157792	-0.01734122287968442	-0.03221301775147929	-0.815723865877712	-0.22084023668639052	-0.15168244575936884	-0.060566074950690336	-0.12601183431952662	-0.20450098619329388	0.09958382642998029	0.16320315581854045	-4.316015779092702	-0.07349112426035499	-0.07333333333333332	0.18925049309664693	0.5352465483234714	0.014674556213017779	-0.045641025641025644	-0.11041420118343195	-0.09664694280078898	-0.0391321499013807	-0.2334714003944773	0.15023668639053253	0.08124260355029585	-0.11534516765286	-0.35076923076923083	-0.26240631163708084	-0.2803747534516765	0.2706508875739645
